date_of_journey,airlines,airlines_code,class,departure,total_stops,arrival,duration_in_minutes,source,destination,price_fare
2024-04-05,Vistara,UK-815,Premium Economy,10:40:00,2.0,10:50:00,810.0,Delhi,Cochin,10638
2024-06-27,Go First,G8-719,Economy,10:41:00,1.0,05:58:00,615.0,Kolkata,Banglore,6196
2024-08-30,Vistara,UK-811,Economy,11:38:00,2.0,05:53:00,1065.0,Delhi,Cochin,8265
2024-11-20,Go First,G8-717,Economy,17:06:00,1.0,04:09:00,300.0,Kolkata,Banglore,19740
2024-07-02,Air India,AI-471,Economy,01:00:00,0.0,23:05:00,289.8,Banglore,New Delhi,8160
2024-02-04,Air India,AI-542,Business,20:24:00,0.0,08:45:00,310.2,Kolkata,Banglore,41113
2024-08-07,Indigo,6E-2117,Economy,16:04:00,0.0,09:11:00,300.0,Mumbai,Hyderabad,7386
2024-01-11,Vistara,UK-993,Business,02:08:00,0.0,20:55:00,130.2,Banglore,Delhi,22152
2024-01-21,Vistara,UK-819,Business,02:29:00,0.0,21:24:00,450.0,Kolkata,Banglore,68150
2024-12-28,Indigo,6E-2117,Economy,10:11:00,0.0,18:48:00,340.2,Banglore,New Delhi,6417
2024-07-14,Go First,G8-101,Economy,08:35:00,0.0,08:25:00,825.0,Banglore,New Delhi,6873
2024-03-07,Go First,G8-113,Economy,23:28:00,1.0,23:54:00,889.8,Kolkata,Banglore,6873
2024-10-16,Vistara,UK-801,Premium Economy,19:54:00,0.0,13:45:00,855.0,Kolkata,Banglore,10638
2024-10-15,Air India,AI-801,Economy,22:43:00,1.0,11:54:00,469.8,Delhi,Cochin,20130
2024-12-09,Vistara,UK-855,Premium Economy,00:43:00,1.0,15:53:00,1204.8,Kolkata,Banglore,16742
2024-01-02,Vistara,UK-871,Premium Economy,09:48:00,0.0,11:37:00,799.8,Mumbai,Hyderabad,13288
2024-01-14,Go First,G8-101,Economy,16:13:00,1.0,23:04:00,934.8,Delhi,Cochin,6873
2024-08-21,Vistara,UK-829,Premium Economy,19:12:00,2.0,20:46:00,949.8,Delhi,Cochin,12822
2024-11-17,Air India,AI-558,Economy,02:21:00,0.0,02:19:00,750.0,Kolkata,Banglore,9609
2024-11-15,Vistara,UK-859,Business,05:26:00,2.0,17:22:00,760.2,Kolkata,Banglore,55696
2024-11-03,Air India,AI-487,Business,12:58:00,1.0,00:06:00,655.2,Delhi,Cochin,39622
2024-06-04,Air India,AI-885,Economy,09:12:00,1.0,05:51:00,355.2,Banglore,New Delhi,12990
2024-05-03,Vistara,UK-801,Economy,07:31:00,2.0,16:15:00,670.2,Delhi,Cochin,11310
2024-04-29,Indigo,6E-2016,Economy,08:49:00,2.0,11:31:00,135.0,Delhi,Cochin,6164
2024-08-12,Air India,AI-441,Economy,08:24:00,0.0,04:24:00,145.2,Banglore,Delhi,5955
2024-05-26,Air India,AI-473,Business,13:38:00,1.0,10:25:00,1035.0,Delhi,Cochin,39859
2024-05-31,Air India,AI-767,Economy,23:11:00,1.0,04:57:00,439.8,Banglore,New Delhi,15825
2024-04-30,Vistara,UK-819,Premium Economy,05:02:00,2.0,01:05:00,450.0,Delhi,Cochin,10638
2024-06-15,Air Asia,I5-857,Economy,05:16:00,0.0,01:03:00,334.8,Kolkata,Banglore,5291
2024-12-09,Vistara,UK-977,Economy,13:07:00,1.0,17:29:00,135.0,Mumbai,Hyderabad,7320
2024-08-17,Air India,AI-542,Economy,19:18:00,1.0,07:15:00,310.2,Delhi,Cochin,9489
2024-01-29,Vistara,UK-781,Business,16:32:00,0.0,16:36:00,1035.0,Chennai,Kolkata,39870
2024-10-25,Vistara,UK-879,Premium Economy,18:41:00,1.0,20:09:00,1260.0,Banglore,New Delhi,20080
2024-11-21,Vistara,UK-637,Business,07:53:00,2.0,17:05:00,1110.0,Delhi,Cochin,36577
2024-01-11,Air India,AI-406,Economy,23:13:00,2.0,16:01:00,334.8,Delhi,Cochin,15405
2024-05-03,Vistara,UK-839,Economy,07:09:00,1.0,07:05:00,529.8,Kolkata,Banglore,13904
2024-11-24,Indigo,6E-864,Economy,04:56:00,1.0,00:34:00,135.0,Kolkata,Banglore,7319
2024-04-01,Indigo,6E-2716,Economy,18:43:00,0.0,02:38:00,135.0,Banglore,New Delhi,5899
2024-07-01,Air India,AI-537,Business,07:43:00,2.0,07:12:00,364.8,Delhi,Cochin,50969
2024-02-28,Vistara,UK-813,Economy,21:09:00,1.0,03:45:00,349.8,Delhi,Cochin,15930
2024-06-07,Vistara,UK-871,Economy,04:33:00,1.0,07:46:00,799.8,Delhi,Cochin,18933
2024-11-28,Air India,AI-558,Economy,17:50:00,0.0,20:56:00,750.0,Mumbai,Hyderabad,8958
2024-05-10,Indigo,6E-864,Economy,19:56:00,1.0,18:54:00,135.0,Kolkata,Banglore,6374
2024-04-28,Air India,AI-512,Business,23:47:00,1.0,01:28:00,964.8,Delhi,Cochin,53164
2024-04-14,Air India,AI-453,Economy,21:46:00,1.0,02:00:00,775.2,Delhi,Cochin,11375
2024-01-21,Vistara,UK-737,Economy,17:02:00,1.0,07:48:00,465.0,Delhi,Cochin,15195
2024-08-14,Go First,G8-323,Economy,12:35:00,0.0,01:21:00,130.2,Kolkata,Banglore,5899
2024-01-04,Vistara,UK-929,Premium Economy,20:06:00,1.0,11:45:00,535.2,Kolkata,Banglore,7082
2024-03-04,Vistara,UK-871,Economy,22:08:00,2.0,12:50:00,1075.2,Delhi,Cochin,12044
2024-11-15,Air India,AI-554,Economy,13:03:00,1.0,03:45:00,709.8,Kolkata,Banglore,10281
2024-02-05,Indigo,6E-2033,Economy,08:10:00,0.0,16:46:00,370.2,Banglore,Delhi,4967
2024-02-26,Air India,AI-542,Economy,14:06:00,1.0,03:55:00,1450.2,Delhi,Cochin,11625
2024-12-12,Air India,AI-636,Business,02:03:00,1.0,12:05:00,225.0,Delhi,Cochin,22152
2024-05-15,Air India,AI-544,Business,13:48:00,0.0,05:19:00,435.0,Banglore,Delhi,41113
2024-11-04,Vistara,UK-979,Premium Economy,13:31:00,0.0,13:15:00,1215.0,Kolkata,Banglore,7984
2024-06-27,Indigo,6E-864,Economy,07:50:00,2.0,15:57:00,135.0,Kolkata,Banglore,7319
2024-03-04,Vistara,UK-815,Business,21:10:00,2.0,10:09:00,724.8,Delhi,Cochin,96223
2024-01-04,Go First,G8-286,Economy,08:01:00,2.0,14:39:00,514.8,Delhi,Cochin,13646
2024-10-27,Vistara,UK-833,Business,08:07:00,1.0,14:03:00,889.8,Kolkata,Banglore,89161
2024-10-23,Air India,AI-887,Business,12:46:00,0.0,05:57:00,135.0,Chennai,Kolkata,22152
2024-05-09,Vistara,UK-933,Economy,17:07:00,1.0,22:22:00,124.80000000000001,Kolkata,Banglore,5955
2024-01-20,Go First,G8-237,Economy,22:25:00,0.0,21:38:00,585.0,Mumbai,Hyderabad,6007
2024-02-04,Go First,G8-330,Economy,20:33:00,0.0,21:45:00,135.0,Chennai,Kolkata,5801
2024-01-26,Vistara,UK-969,Business,02:20:00,0.0,08:46:00,735.0,Banglore,Delhi,30249
2024-06-25,Spicejet,SG-8701,Economy,12:39:00,2.0,16:32:00,124.80000000000001,Delhi,Cochin,5794
2024-11-03,Vistara,UK-929,Economy,03:34:00,2.0,17:40:00,739.8,Delhi,Cochin,7367
2024-12-06,Air India,AI-814,Business,13:46:00,1.0,03:05:00,135.0,Delhi,Cochin,22152
2024-11-18,Vistara,UK-817,Premium Economy,00:21:00,1.0,22:47:00,435.0,Delhi,Cochin,11758
2024-03-31,Vistara,UK-969,Premium Economy,10:20:00,1.0,19:10:00,940.2,Delhi,Cochin,13376
2024-07-01,Air India,AI-542,Economy,06:28:00,2.0,18:44:00,859.8,Delhi,Cochin,7704
2024-08-10,Air India,AI-542,Economy,02:14:00,0.0,17:42:00,859.8,Mumbai,Hyderabad,8895
2024-08-28,Indigo,6E-5603,Economy,19:04:00,1.0,19:06:00,289.8,Banglore,New Delhi,7079
2024-02-09,Vistara,UK-706,Economy,12:10:00,3.0,23:53:00,495.0,Kolkata,Banglore,11730
2024-09-29,Air India,AI-558,Economy,03:38:00,0.0,11:11:00,750.0,Banglore,New Delhi,8958
2024-06-14,Indigo,6E-6822,Economy,19:21:00,1.0,09:03:00,520.2,Banglore,New Delhi,8264
2024-07-05,Indigo,6E-902,Economy,19:52:00,0.0,15:21:00,375.0,Kolkata,Banglore,8054
2024-10-31,Vistara,UK-899,Premium Economy,01:28:00,1.0,09:00:00,1050.0,Banglore,New Delhi,19632
2024-08-22,Air India,AI-560,Business,13:39:00,1.0,14:58:00,465.0,Kolkata,Banglore,41113
2024-12-03,Air India,AI-439,Business,12:21:00,0.0,11:52:00,1075.2,Delhi,Cochin,50969
2024-01-21,Vistara,UK-957,Business,01:47:00,0.0,06:28:00,135.0,Banglore,Delhi,56860
2024-01-02,Air India,AI-767,Economy,11:43:00,2.0,13:08:00,439.8,Delhi,Cochin,14670
2024-03-01,Air India,AI-665,Business,17:12:00,1.0,22:01:00,139.8,Delhi,Cochin,22152
2024-09-23,Air Asia,I5-740,Economy,20:20:00,0.0,03:00:00,990.0,Banglore,Delhi,4827
2024-02-12,Air India,AI-839,Economy,09:21:00,0.0,19:16:00,1045.2,Mumbai,Hyderabad,9489
2024-09-29,Vistara,UK-815,Premium Economy,23:22:00,1.0,12:42:00,1450.2,Kolkata,Banglore,10638
2024-08-14,Air India,AI-451,Business,09:46:00,1.0,18:16:00,1545.0,Delhi,Cochin,39622
2024-11-21,Air India,AI-537,Economy,17:37:00,0.0,11:58:00,450.0,Mumbai,Hyderabad,9609
2024-02-07,Indigo,6E-2208,Economy,09:44:00,1.0,23:02:00,520.2,Delhi,Cochin,5294
2024-04-21,Indigo,6E-6034,Economy,12:02:00,2.0,20:14:00,304.8,Delhi,Cochin,5916
2024-09-20,Indigo,6E-2208,Economy,00:36:00,1.0,20:09:00,520.2,Kolkata,Banglore,6205
2024-01-04,Indigo,6E-6232,Economy,04:07:00,1.0,08:03:00,520.2,Kolkata,Banglore,8317
2024-11-29,Vistara,UK-981,Premium Economy,22:50:00,0.0,01:14:00,120.0,Banglore,Delhi,11646
2024-02-17,Air India,AI-433,Business,06:04:00,0.0,10:36:00,1620.0,Kolkata,Banglore,29805
2024-07-28,Vistara,UK-839,Economy,22:29:00,0.0,10:44:00,529.8,Kolkata,Banglore,13904
2024-11-26,Vistara,UK-817,Business,08:37:00,1.0,05:09:00,435.0,Delhi,Cochin,53164
2024-12-09,Go First,G8-330,Economy,06:39:00,1.0,03:17:00,135.0,Delhi,Cochin,5801
2024-05-08,Go First,G8-286,Economy,07:08:00,2.0,05:47:00,514.8,Delhi,Cochin,19105
2024-05-25,Air India,AI-537,Business,16:49:00,1.0,15:59:00,450.0,Delhi,Cochin,50969
2024-01-06,Go First,G8-323,Economy,01:16:00,1.0,22:12:00,130.2,Delhi,Cochin,5899
2024-12-20,Vistara,UK-879,Premium Economy,09:04:00,1.0,10:47:00,985.2,Delhi,Cochin,12262
2024-11-04,Vistara,UK-637,Economy,05:39:00,1.0,21:14:00,315.0,Kolkata,Banglore,10313
2024-09-02,Air India,AI-537,Economy,07:03:00,1.0,18:07:00,450.0,Delhi,Cochin,10995
2024-03-14,Indigo,UK-833,Economy,16:32:00,0.0,14:03:00,540.0,Banglore,Delhi,18764
2024-04-12,Air India,AI-411,Economy,12:24:00,1.0,18:31:00,559.8,Kolkata,Banglore,6764
2024-09-24,Air India,AI-833,Economy,05:01:00,1.0,00:55:00,1050.0,Delhi,Cochin,16458
2024-02-10,Air India,AI-767,Economy,10:46:00,2.0,20:01:00,499.8,Delhi,Cochin,15195
2024-09-24,Air Asia,I5-740,Economy,08:18:00,1.0,03:47:00,769.8,Kolkata,Banglore,5291
2024-04-01,Go First,G8-354,Economy,02:49:00,0.0,22:13:00,130.2,Kolkata,Banglore,5801
2024-01-27,Vistara,UK-899,Premium Economy,12:18:00,2.0,23:19:00,1155.0,Delhi,Cochin,21200
2024-02-22,Air India,AI-401,Economy,23:20:00,0.0,00:10:00,820.2,Mumbai,Hyderabad,15825
2024-01-17,Air India,AI-865,Business,23:15:00,0.0,21:28:00,145.2,Banglore,Delhi,22152
2024-08-12,Vistara,UK-637,Premium Economy,21:58:00,2.0,18:49:00,315.0,Delhi,Cochin,19094
2024-01-11,Vistara,UK-706,Business,06:46:00,1.0,23:15:00,1290.0,Delhi,Cochin,47665
2024-07-22,Vistara,UK-929,Economy,16:01:00,1.0,03:44:00,739.8,Kolkata,Banglore,9872
2024-10-16,Vistara,UK-859,Premium Economy,13:47:00,0.0,22:44:00,1305.0,Kolkata,Banglore,20080
2024-05-29,Vistara,UK-829,Premium Economy,11:09:00,1.0,02:41:00,1600.2,Delhi,Cochin,12822
2024-10-23,Air India,AI-558,Economy,15:41:00,1.0,10:56:00,750.0,Delhi,Cochin,10281
2024-12-24,Air India,AI-558,Economy,19:06:00,1.0,21:09:00,1594.8,Delhi,Cochin,12906
2024-11-14,Vistara,UK-951,Economy,07:12:00,2.0,17:59:00,130.2,Delhi,Cochin,7320
2024-05-14,Air India,AI-540,Economy,19:42:00,0.0,01:43:00,690.0,Banglore,Delhi,8958
2024-09-14,Air India,AI-542,Economy,10:45:00,1.0,03:53:00,310.2,Delhi,Cochin,9489
2024-01-11,Air India,AI-473,Economy,19:31:00,0.0,13:32:00,1035.0,Banglore,Delhi,9999
2024-12-23,Air India,AI-429,Economy,22:23:00,1.0,03:01:00,750.0,Kolkata,Banglore,8958
2024-10-19,Indigo,6E-6201,Economy,11:49:00,1.0,03:09:00,295.2,Banglore,New Delhi,14900
2024-06-18,Go First,G8-184,Economy,03:03:00,1.0,06:22:00,495.0,Kolkata,Banglore,6873
2024-01-25,Vistara,UK-785,Business,05:37:00,0.0,12:56:00,1690.2,Banglore,Delhi,39870
2024-08-21,Go First,G8-323,Economy,21:21:00,1.0,13:39:00,130.2,Kolkata,Banglore,5899
2024-07-11,Vistara,UK-635,Premium Economy,10:50:00,1.0,21:33:00,1624.8,Kolkata,Banglore,18198
2024-04-02,Air India,AI-814,Business,19:29:00,2.0,01:48:00,135.0,Delhi,Cochin,22152
2024-05-10,Vistara,UK-955,Premium Economy,20:40:00,0.0,12:06:00,130.2,Mumbai,Hyderabad,11646
2024-06-15,Air Asia,I5-740,Economy,12:16:00,0.0,10:26:00,649.8,Delhi,Cochin,4827
2024-02-26,Vistara,UK-811,Premium Economy,16:07:00,0.0,06:38:00,964.8,Banglore,Delhi,21592
2024-12-27,Vistara,UK-787,Business,18:48:00,0.0,06:21:00,1485.0,Delhi,Cochin,39870
2024-11-30,Air India,AI-560,Economy,04:36:00,1.0,23:02:00,1015.2,Kolkata,Banglore,8895
2024-01-28,Vistara,UK-833,Economy,06:08:00,2.0,03:49:00,409.8,Delhi,Cochin,13148
2024-04-17,Vistara,UK-673,Economy,13:28:00,0.0,23:52:00,310.2,Kolkata,Banglore,13358
2024-01-08,Indigo,6E-5218,Economy,02:44:00,0.0,19:12:00,135.0,Banglore,New Delhi,6277
2024-09-17,Vistara,UK-929,Economy,15:18:00,1.0,23:49:00,739.8,Delhi,Cochin,9362
2024-06-15,Air India,AI-624,Business,20:44:00,1.0,14:03:00,145.2,Delhi,Cochin,22152
2024-08-19,Air India,AI-544,Business,15:12:00,1.0,20:52:00,1324.8,Kolkata,Banglore,41113
2024-11-08,Akasa Air,QP-1128,Economy,05:04:00,2.0,14:01:00,130.2,Delhi,Cochin,5890
2024-11-23,Air India,AI-811,Economy,03:53:00,1.0,19:44:00,1305.0,Kolkata,Banglore,10785
2024-04-08,Indigo,6E-319,Economy,23:03:00,1.0,19:19:00,375.0,Delhi,Cochin,14197
2024-08-17,Air India,AI-502,Business,01:49:00,1.0,01:30:00,480.0,Delhi,Cochin,53164
2024-04-10,Indigo,6E-2716,Economy,19:49:00,1.0,05:23:00,135.0,Delhi,Cochin,5899
2024-07-02,Vistara,UK-977,Premium Economy,15:23:00,1.0,09:14:00,135.0,Delhi,Cochin,7278
2024-01-29,Vistara,UK-785,Business,01:57:00,1.0,07:58:00,1690.2,Delhi,Cochin,39870
2024-07-31,Vistara,UK-985,Premium Economy,00:16:00,1.0,18:22:00,135.0,Kolkata,Banglore,11646
2024-04-24,Vistara,UK-815,Business,05:49:00,2.0,06:08:00,724.8,Delhi,Cochin,93798
2024-09-30,Akasa Air,QP-1128,Economy,15:10:00,2.0,22:24:00,130.2,Kolkata,Banglore,5840
2024-04-22,Air India,AI-624,Business,15:55:00,1.0,16:04:00,145.2,Delhi,Cochin,22152
2024-06-23,Indigo,6E-7403,Economy,04:06:00,0.0,10:32:00,390.0,Kolkata,Banglore,9472
2024-12-18,Air India,AI-506,Business,23:15:00,0.0,15:20:00,705.0,Mumbai,Hyderabad,53164
2024-04-18,Vistara,UK-839,Economy,19:21:00,0.0,17:41:00,529.8,Kolkata,Banglore,13904
2024-02-21,Air India,AI-542,Business,17:54:00,0.0,10:09:00,310.2,Kolkata,Banglore,41113
2024-02-14,Air India,AI-839,Business,14:36:00,1.0,14:23:00,1594.8,Delhi,Cochin,41113
2024-09-11,Vistara,UK-835,Business,21:13:00,0.0,02:19:00,769.8,Mumbai,Hyderabad,63816
2024-06-28,Vistara,UK-811,Economy,16:33:00,1.0,11:38:00,349.8,Delhi,Cochin,9263
2024-12-04,Vistara,UK-871,Premium Economy,16:35:00,0.0,22:32:00,1590.0,Banglore,Delhi,12262
2024-07-26,Vistara,UK-815,Premium Economy,19:07:00,1.0,06:00:00,724.8,Delhi,Cochin,11758
2024-02-17,Air India,AI-540,Economy,07:55:00,1.0,14:58:00,690.0,Kolkata,Banglore,9630
2024-12-22,Vistara,UK-929,Economy,03:45:00,0.0,18:13:00,739.8,Banglore,Delhi,5876
2024-06-23,Indigo,6E-2049,Economy,17:10:00,1.0,11:43:00,340.2,Delhi,Cochin,11119
2024-01-27,Vistara,UK-801,Business,17:56:00,0.0,04:09:00,694.8,Kolkata,Banglore,72938
2024-11-08,Go First,G8-184,Economy,01:58:00,1.0,08:29:00,385.2,Delhi,Cochin,9619
2024-07-19,Air India,AI-560,Business,17:41:00,0.0,10:35:00,465.0,Mumbai,Hyderabad,41113
2024-05-04,Vistara,UK-969,Premium Economy,20:24:00,2.0,16:50:00,735.0,Delhi,Cochin,7984
2024-02-16,Air India,AI-807,Business,15:19:00,1.0,20:15:00,934.8,Kolkata,Banglore,53164
2024-04-24,Air India,AI-560,Business,01:56:00,1.0,19:04:00,1015.2,Delhi,Cochin,41113
2024-08-06,Vistara,UK-979,Business,10:29:00,1.0,13:39:00,319.8,Delhi,Cochin,30249
2024-03-10,Vistara,UK-871,Economy,14:24:00,0.0,08:05:00,799.8,Kolkata,Banglore,38915
2024-04-28,Air India,AI-429,Business,17:56:00,2.0,14:24:00,750.0,Kolkata,Banglore,50969
2024-03-25,Indigo,6E-5345,Economy,10:09:00,1.0,05:43:00,544.8,Kolkata,Banglore,7825
2024-10-16,Indigo,6E-2208,Economy,23:44:00,2.0,04:53:00,520.2,Delhi,Cochin,5785
2024-12-28,Go First,G8-334,Economy,07:05:00,1.0,03:23:00,130.2,Kolkata,Banglore,5899
2024-05-08,Vistara,UK-933,Premium Economy,03:17:00,2.0,16:29:00,124.80000000000001,Delhi,Cochin,7278
2024-12-27,Vistara,UK-979,Business,05:36:00,0.0,04:37:00,319.8,Banglore,Delhi,30249
2024-03-31,Vistara,UK-747,Economy,01:39:00,0.0,15:39:00,390.0,Delhi,Cochin,16770
2024-01-02,Vistara,UK-635,Business,09:33:00,1.0,13:33:00,1624.8,Delhi,Cochin,37417
2024-09-12,Air Asia,I5-773,Economy,22:10:00,0.0,12:36:00,379.8,Chennai,Kolkata,6872
2024-08-18,Vistara,UK-929,Economy,03:47:00,2.0,03:36:00,739.8,Kolkata,Banglore,9872
2024-01-25,Vistara,UK-963,Business,09:04:00,0.0,02:34:00,145.2,Mumbai,Hyderabad,30104
2024-06-05,Indigo,6E-902,Economy,23:09:00,1.0,21:40:00,375.0,Kolkata,Banglore,9734
2024-12-09,Vistara,UK-859,Economy,18:42:00,1.0,13:41:00,760.2,Kolkata,Banglore,10418
2024-11-10,Vistara,UK-855,Business,21:35:00,0.0,17:18:00,334.8,Mumbai,Hyderabad,48225
2024-10-03,Indigo,6E-7403,Economy,02:35:00,0.0,00:05:00,390.0,Mumbai,Hyderabad,8490
2024-09-10,Vistara,UK-933,Business,02:04:00,1.0,03:01:00,124.80000000000001,Delhi,Cochin,41528
2024-12-07,Vistara,UK-809,Premium Economy,17:46:00,1.0,04:05:00,745.2,Delhi,Cochin,10823
2024-11-25,Indigo,6E-6034,Economy,10:23:00,0.0,07:53:00,355.2,Banglore,Delhi,8620
2024-07-22,Vistara,UK-979,Business,09:08:00,0.0,12:33:00,1215.0,Kolkata,Banglore,30249
2024-03-26,Vistara,UK-819,Economy,20:32:00,1.0,21:48:00,550.2,Kolkata,Banglore,8291
2024-09-24,Air India,AI-453,Business,03:06:00,1.0,13:50:00,775.2,Kolkata,Banglore,35532
2024-03-01,Vistara,UK-819,Business,06:00:00,1.0,12:32:00,550.2,Kolkata,Banglore,60601
2024-10-14,Air India,AI-767,Economy,00:28:00,1.0,14:28:00,499.8,Kolkata,Banglore,17715
2024-03-16,Air India,AI-554,Economy,17:13:00,0.0,14:36:00,1330.2,Banglore,Delhi,8958
2024-08-15,Vistara,UK-963,Premium Economy,07:28:00,1.0,13:20:00,139.8,Delhi,Cochin,15846
2024-10-25,Air India,AI-803,Economy,18:05:00,1.0,02:23:00,919.8,Delhi,Cochin,6944
2024-09-03,Go First,G8-323,Economy,06:47:00,0.0,19:39:00,130.2,Banglore,New Delhi,5899
2024-08-05,Air India,AI-801,Economy,23:19:00,2.0,13:41:00,469.8,Delhi,Cochin,17295
2024-12-10,Vistara,UK-929,Premium Economy,21:49:00,0.0,12:05:00,1285.2,Banglore,Delhi,15992
2024-12-26,Air India,AI-678,Economy,07:32:00,1.0,16:18:00,139.8,Delhi,Cochin,7320
2024-08-26,Indigo,6E-2138,Economy,04:05:00,1.0,02:31:00,139.8,Kolkata,Banglore,6164
2024-06-11,Vistara,UK-871,Premium Economy,13:18:00,2.0,20:05:00,694.8,Delhi,Cochin,15118
2024-06-24,Vistara,UK-811,Premium Economy,11:47:00,1.0,22:17:00,349.8,Delhi,Cochin,18646
2024-03-09,Vistara,UK-945,Business,22:41:00,0.0,21:09:00,135.0,Mumbai,Hyderabad,41528
2024-03-20,Air India,AI-883,Economy,10:33:00,1.0,13:20:00,610.2,Delhi,Cochin,11449
2024-10-06,Air Asia,I5-745,Economy,01:07:00,1.0,02:42:00,885.0,Banglore,New Delhi,10624
2024-12-08,Vistara,UK-837,Premium Economy,10:43:00,1.0,13:39:00,1090.2,Banglore,New Delhi,17448
2024-08-04,Vistara,UK-817,Premium Economy,16:39:00,1.0,18:48:00,1084.8,Delhi,Cochin,10638
2024-10-13,Air India,AI-540,Economy,23:59:00,2.0,00:58:00,1534.8,Delhi,Cochin,11646
2024-08-09,Vistara,UK-955,Premium Economy,03:50:00,0.0,23:19:00,130.2,Banglore,Delhi,30260
2024-03-16,Air India,AI-433,Business,23:41:00,2.0,19:16:00,1620.0,Delhi,Cochin,29805
2024-01-13,Indigo,6E-902,Economy,11:26:00,1.0,22:07:00,375.0,Kolkata,Banglore,12149
2024-08-24,Air India,AI-506,Economy,06:35:00,1.0,23:46:00,705.0,Banglore,New Delhi,7415
2024-04-03,Air India,AI-471,Economy,08:29:00,0.0,01:12:00,289.8,Banglore,Delhi,10890
2024-06-30,Vistara,UK-781,Business,13:05:00,1.0,03:07:00,1035.0,Delhi,Cochin,39870
2024-03-14,Air India,AI-883,Business,05:31:00,1.0,18:50:00,610.2,Kolkata,Banglore,48225
2024-07-11,Air India,AI-429,Business,21:01:00,0.0,17:54:00,835.2,Banglore,New Delhi,50969
2024-10-08,Air India,AI-487,Economy,04:32:00,1.0,10:26:00,655.2,Delhi,Cochin,9347
2024-12-15,Vistara,UK-737,Business,21:20:00,1.0,03:28:00,465.0,Kolkata,Banglore,87257
2024-04-16,Vistara,UK-871,Business,14:46:00,0.0,22:22:00,1075.2,Mumbai,Hyderabad,55696
2024-11-26,Vistara,UK-879,Premium Economy,18:28:00,2.0,09:37:00,985.2,Delhi,Cochin,18792
2024-11-20,Air Asia,I5-1228,Economy,22:04:00,2.0,00:16:00,690.0,Delhi,Cochin,6872
2024-02-06,Air Asia,I5-1228,Economy,08:57:00,0.0,22:27:00,910.2,Banglore,Delhi,6872
2024-06-09,Vistara,UK-993,Premium Economy,09:55:00,1.0,17:42:00,130.2,Kolkata,Banglore,7278
2024-05-07,Air India,AI-415,Economy,19:23:00,0.0,07:39:00,1470.0,Banglore,Delhi,12286
2024-09-23,Vistara,UK-637,Economy,13:31:00,1.0,12:45:00,1110.0,Delhi,Cochin,9420
2024-05-31,Vistara,UK-871,Premium Economy,02:30:00,0.0,06:24:00,799.8,Mumbai,Hyderabad,12262
2024-11-08,Air Asia,I5-773,Economy,23:00:00,2.0,09:50:00,379.8,Delhi,Cochin,6375
2024-06-24,Vistara,UK-835,Economy,21:00:00,0.0,21:13:00,769.8,Kolkata,Banglore,12394
2024-11-06,Air Asia,I5-745,Economy,08:47:00,2.0,20:58:00,784.8,Delhi,Cochin,13362
